Name,Location,Industries,Stages,Sectors
SNOOZEIT ENTERTAINMENT PRIVATE LIMITED,"Jaipur, Rajasthan, India",Media & Entertainment,Prototype,Digital Media Video
INDOMILL LIFESTYLE,"Belagavi, Karnataka, India",Design,Validation,Others
C100R ADVISORS PRIVATE LIMITED,"Pune, Maharashtra, India",Professional & Commercial Services,Validation,Business Support Services
UPSEEN TECHNOLOGIES PRIVATE LIMITED,"Gulbarga, Karnataka, India",Media & Entertainment,Validation,Digital Media
VARCITY EDUTECH SERVICES PRIVATE LIMITED,"Palghar, Maharashtra, India",IT Services,Prototype,Others
NETFORTRESS TECHNOLOGIES PRIVATE LIMITED,"Pune, Maharashtra, India",Security Solutions,Validation,Cyber Security
MAHAJAY VENTURES LLP,"Bhopal, Madhya Pradesh, India",Media & Entertainment,EarlyTraction,Entertainment
INCAB RIDES PRIVATE LIMITED,"Mohali, Punjab, India",Transportation & Storage,Prototype,Passenger Transportation Services
TRH SOLUTIONS,"Guna, Madhya Pradesh, India",Human Resources,Validation,Skills Assessment
KARBONX VENTURES LLP,"Hyderabad, Telangana, India",Green Technology,Validation,Clean Tech
TRAVEL ECO,"Jaipur, Rajasthan, India",Transportation & Storage,EarlyTraction,Others
TRK MAHADEV INFRA,"Vijayawada, Andhra Pradesh, India",Construction,Validation,Construction & Engineering
MARUTI BUILDNEST PRIVATE LIMITED,"Ahmedabad, Gujarat, India",Construction,EarlyTraction,Construction & Engineering
MY MILESTONES FASHION ESSENTIALS PRIVATE LIMITED,"Mumbai, Maharashtra, India",Textiles & Apparel,Scaling,Apparel & Accessories
SHRAVINI RESOURCES (OPC) PRIVATE LIMITED,"Jabalpur, Madhya Pradesh, India",Professional & Commercial Services,Prototype,Others
FLEXIOP PRIVATE LIMITED,"Rohtak, Haryana, India",AI,Prototype,Others
MADHUSUDAN IRONWARRIOR WORLDWIDE RECYCLING PRIVATE LIMITED,"Ahmedabad, Gujarat, India",Waste Management,EarlyTraction,Others
ADVANTA NEXTGEN WORKFORCE SOLUTIONS PRIVATE LIMITED,"Mumbai, Maharashtra, India",Human Resources,EarlyTraction,Recruitment Jobs
TASKTIDE PRIVATE LIMITED,"Thiruvananthapuram, Kerala, India",House-Hold Services,Validation,Others
OFF BEAT STORIES LLP,"Ernakulam, Kerala, India",Education,Prototype,Skill Development
ELCOP CONTROLS PRIVATE LIMITED,"Bharuch, Gujarat, India",Renewable Energy,EarlyTraction,Manufacture of Electrical Equipment
DIGIBERIES DIGITAL BERRIES PRIVATE LIMITED,"Thane, Maharashtra, India",Marketing,EarlyTraction,Digital Marketing (SEO Automation)
SAMBAL ONE STOP FINTECH SOLUTION PRIVATE LIMITED,"Gurugram, Haryana, India",Finance Technology,Prototype,Microfinance
VECTRIO INNOVATIONS PRIVATE LIMITED,"Nashik, Maharashtra, India",IT Services,EarlyTraction,Product Development
PLEATS AND PLATES,"Bengaluru, Karnataka, India",Textiles & Apparel,Scaling,Apparel & Accessories
BLESSED MARY INSTITUTE PRIVATE LIMITED,"Malappuram, Kerala, India",Education,Validation,Education Technology
MADEEHA ENGINEER,"South Eastdelhi, Delhi, India",Construction,Validation,Construction & Engineering
DESNO TECTIX PRIVATE LIMITED,"Ranga Reddy, Telangana, India",IT Services,Prototype,IT Consulting
SPELLBEE INTERNATIONAL PRIVATE LIMITED,"Chennai, Tamil Nadu, India",Education,Scaling,Others
AMIZHTHINI FOOD PRIVATE LIMITED,"Chennai, Tamil Nadu, India",Food & Beverages,Scaling,Food Processing
SENTIENTA QUALITYAI ADVANCED TECHNOLOGY RESEARCH PRIVATE LIMITED,"Sirsa, Haryana, India",AI,Validation,Machine Learning
SHANTU SEN,"West Tripura, Tripura, India",Transportation & Storage,Validation,Freight & Logistics Services
NAVIREX INDIA PRIVATE LIMITED,"Kottayam, Kerala, India",Renewable Energy,Prototype,Renewable Energy Solutions
BIJLIWALA PLAST INDUSTRIES PRIVATE LIMITED,"Deoria, Uttar Pradesh, India",Construction,Validation,Construction Materials
HEMRICORE SOLUTION PRIVATE LIMITED,"Allahabad, Uttar Pradesh, India",Green Technology,Validation,Clean Tech
BLUE WHEEL INNOVATIONS PRIVATE LIMITED,"Hyderabad, Telangana, India",IT Services,Prototype,Others
PREJEE INNOVATIONS PRIVATE LIMITED,"Patna, Bihar, India",Education,Validation,Education Technology
PUERITIA FOODS PRIVATE LIMITED,"New Delhi, Delhi, India",Food & Beverages,EarlyTraction,Food Processing
UPASANA METALS PRIVATE LIMITED,"Ahmedabad, Gujarat, India",Retail,EarlyTraction,Others
PIXPOC AI TECHNOLOGIES PRIVATE LIMITED,"Pune, Maharashtra, India",AI,Validation,Others
NUTRISWIFT FOODS PRIVATE LIMITED,"Khordha, Odisha, India",Food & Beverages,Validation,Food Technology/Food Delivery
ISORROPIA SOLUTION PRIVATE LIMITED,"Vizianagaram, Andhra Pradesh, India",Enterprise Software,Prototype,Cloud
DEEPKOSH SOLUTIONS PRIVATE LIMITED,"Bengaluru Rural, Karnataka, India",Finance Technology,Validation,Others
TANTAM GIFTING PRIVATE LIMITED,"Bengaluru Urban, Karnataka, India",Other Specialty Retailers,Prototype,Others
CONECXIA ENTERPRISES LLP,"Kozhikode, Kerala, India",IT Services,Prototype,Application Development
RAGNITIONAI PRIVATE LIMITED,"Pune, Maharashtra, India",AI,EarlyTraction,Machine Learning
TATVATECH DIGITAL PRIVATE LIMITED,"Gautam Buddha Nagar, Uttar Pradesh, India",IT Services,Scaling,Web Development
IBTB PRIVATE LIMITED,"Bengaluru Urban, Karnataka, India",Other Specialty Retailers,Scaling,Others
MG ENTERPRISES,"Angul, Odisha, India",Technology Hardware,Validation,Manufacturing
JAY JAGDAMB ENTERPRISES,"Guna, Madhya Pradesh, India",Agriculture,Prototype,Horticulture
NEXA EDGE GLOBAL,"Ahmedabad, Gujarat, India",Marketing,Prototype,Sales
DVB PIYAKAD BEVERAGES PRIVATE LIMITED,"Mohali, Punjab, India",Food & Beverages,Scaling,Food Processing
DASHRESQ LLP,"Gautam Buddha Nagar, Uttar Pradesh, India",Safety,Validation,Others
SANGOEXIM LLP,"Shivamogga, Karnataka, India",Agriculture,Prototype,Agri-Tech
UNIVERSAL MOTORS,"Amravati, Maharashtra, India",Automotive,Validation,"Auto, Truck & Motorcycle Parts"
MUSHROOM COLLECTIVE MEDIA LLP,"Thane, Maharashtra, India",Media & Entertainment,Prototype,Digital Media
PRODESK SOFTWARE PRIVATE LIMITED,"Gurugram, Haryana, India",IT Services,EarlyTraction,IT Consulting
VIJAYRUT INFRA PRIVATE LIMITED,"Vadodara, Gujarat, India",Construction,Scaling,Construction & Engineering
WANDERKNOT PRODUCTS (OPC) PRIVATE LIMITED,"Bareilly, Uttar Pradesh, India",Food & Beverages,Validation,Food Processing
VISHWAMITRA NETWORK PRIVATE LIMITED,"Indore, Madhya Pradesh, India",Social Network,Validation,Others
SIREC INTEGRATED SERVICES PRIVATE LIMITED,"Mumbai, Maharashtra, India",Security Solutions,Validation,Others
KOANS WELLNESS PRIVATE LIMITED,"Lucknow, Uttar Pradesh, India",Healthcare & Lifesciences,Validation,Healthcare IT
CHAMELEON - THE AGENCY (OPC) PRIVATE LIMITED,"Jaipur (Gramin), Rajasthan, India",Social Impact,Prototype,Others
SUKHADA AROGYA HEALTHCARE PRODUCTS PRIVATE LIMITED,"Hyderabad, Telangana, India",Healthcare & Lifesciences,Prototype,Medical Devices Biomedical
FLOODGUARD SOLUTIONS PRIVATE LIMITED,"Ranga Reddy, Telangana, India",Safety,Validation,Others
Zoranta Innovations Private Limited,"Ahmedabad, Gujarat, India",AI,EarlyTraction,Others
Ryphira Private Limited,"Palakkad, Kerala, India",AI,Prototype,Machine Learning
Doxlib,"Howrah, West Bengal, India",Healthcare & Lifesciences,EarlyTraction,Healthcare Services
Sbgreen Land Exports (Opc) Private Limited,"Krishnagiri, Tamil Nadu, India",Agriculture,Validation,Food Processing
Kabs Brisco Llp,"Ahmednagar, Maharashtra, India",Retail,Prototype,Others
Digitrace People Connect Llp,"Ernakulam, Kerala, India",IT Services,Scaling,Web Development
Risaura Buildcon Llp,"Jabalpur, Madhya Pradesh, India",Construction,Prototype,New-age Construction Technologies
Putcall Option Wizzard Private Limited,"Ghaziabad, Uttar Pradesh, India",Professional & Commercial Services,Validation,Professional Information Services
Bharat Worker Private Limited,"Bhopal, Madhya Pradesh, India",Human Resources,Prototype,Others
H8 Technologies Private Limited,"Ernakulam, Kerala, India",AI,Prototype,Others
House Of Sawariya Private Limited,"Jaipur, Rajasthan, India",Textiles & Apparel,Validation,Apparel & Accessories
Eventofu Private Limited,"Jabalpur, Madhya Pradesh, India",Enterprise Software,Validation,Collaboration
Bakai Bio Agro Food Private Limited,"Baleswar, Odisha, India",Food & Beverages,EarlyTraction,Food Processing
Trigartha A.I Labs (Opc) Private Limited,"Gautam Buddha Nagar, Uttar Pradesh, India",Aeronautics Aerospace & Defence,Validation,Others
Shaw Chemitech Private Limited,"East Singhbhum, Jharkhand, India",Chemicals,Scaling,Commodity Chemicals
Red Wingss Techverse Private Limited,"Tiruppur, Tamil Nadu, India",IT Services,Prototype,Product Development
Nortcele Systems Private Limited,"Bengaluru Urban, Karnataka, India",IT Services,Scaling,IT Consulting
Rakshaya Healthcare Private Limited,"Margherita, Assam, India",Healthcare & Lifesciences,Prototype,Healthcare Technology
Exalans And Hunar Corporate Solutions Private Limited,"Thiruvananthapuram, Kerala, India",Human Resources,EarlyTraction,Recruitment Jobs
Purple Compute Llp,"Gurugram, Haryana, India",Enterprise Software,Scaling,Enterprise Mobility
Witting Ai Private Limited,"Yamunanagar, Haryana, India",IT Services,EarlyTraction,IT Consulting
Rofzen Private Limited,"Dewas, Madhya Pradesh, India",Nanotechnology,Validation,Others
Novarix Tech (Opc) Private Limited,"Krishna, Andhra Pradesh, India",IT Services,Prototype,Product Development
G29dev Technologies (Opc) Private Limited,"Pune, Maharashtra, India",AI,Prototype,Others
Sri Hanu Gold Foods Industries Private Limited,"Hyderabad, Telangana, India",Food & Beverages,EarlyTraction,Food Processing
Sofzenix It Solutions Llp,"Narasaraopet, Andhra Pradesh, India",IT Services,Scaling,Product Development
Ecosphere Biolabs Llp,"Nashik, Maharashtra, India",Biotechnology,Validation,Others
Ramble Transport Private Limited,"Vijayapura, Karnataka, India",Travel & Tourism,EarlyTraction,Ticketing
Chaudhary Maha Singh Welfare Foundation,"New Delhi, Delhi, India",Social Impact,Validation,NGO
Sth Operations Llp,"Kullu, Himachal Pradesh, India",IT Services,Prototype,Application Development
Eduvate Study Nexus Solutions Private Limited,"Kottayam, Kerala, India",Education,Validation,Education Technology
Radixiy Quantix Private Limited,"Bengaluru Urban, Karnataka, India",IT Services,Validation,IT Consulting
Satya Pharmaceuticals Ayurveda Private Limited,"Sonipat, Haryana, India",Healthcare & Lifesciences,EarlyTraction,Health & Wellness
Stockbuzz,"Thane, Maharashtra, India",Finance Technology,Prototype,Trading
Babylonia Agsys Private Limited,"Kozhikode, Kerala, India",Agriculture,Prototype,Agri-Tech
Firstdine Private Limited,"Ernakulam, Kerala, India",Food & Beverages,Validation,Food Technology/Food Delivery
Flurit Ai Private Limited,"South West Delhi, Delhi, India",AI,Validation,Others
Jaydeep Organic Productions Private Limited,"Ganjam, Odisha, India",Food & Beverages,EarlyTraction,Food Processing
Coachesin Konsultize Private Limited,"Visakhapatnam, Andhra Pradesh, India",IT Services,Prototype,IT Consulting
Brancrft Llp,"Central Delhi, Delhi, India",Marketing,EarlyTraction,Branding
Kaliyugai,"Faridabad, Haryana, India",AI,EarlyTraction,Machine Learning
Tekora Labs Private Limited,"Ghaziabad, Uttar Pradesh, India",Real Estate,Validation,Housing
Rama.Ai Labs Private Limited,"Ranga Reddy, Telangana, India",AI,Prototype,NLP
Secure Estate,"Pune, Maharashtra, India",Real Estate,Validation,Housing
Musef Sales Private Limited,"Patan, Gujarat, India",Computer Vision,Prototype,Others
Digidaan Private Limited,"Panipat, Haryana, India",Finance Technology,EarlyTraction,Payment Platforms
Shree Shakti Food Products,"Morbi, Gujarat, India",Agriculture,Prototype,Food Processing
Ploc Tech Private Limited,"Ghaziabad, Uttar Pradesh, India",Real Estate,EarlyTraction,Others
Urbanedge Waste & Infra Private Limited,"Lucknow, Uttar Pradesh, India",Waste Management,Prototype,Others
Affordance Design Llp,"Bengaluru Urban, Karnataka, India",IT Services,Validation,Product Development
Hizoom Foods Private Limited,"Pune, Maharashtra, India",Food & Beverages,Scaling,Food Processing
Infra4sight Technologies Private Limited,"Bengaluru Urban, Karnataka, India",Telecommunication & Networking,EarlyTraction,Others
Aurevo28 Proptech Private Limited,"Amravati, Maharashtra, India",Real Estate,Validation,Others
Kessler Dynamics Private Limited,"Ahmedabad, Gujarat, India",Aeronautics Aerospace & Defence,Validation,Space Technology
Nyma Health & Wellness Private Limited,"Bengaluru Urban, Karnataka, India",AI,Validation,NLP
V&D Sports Private Limited,"Gurugram, Haryana, India",Fashion,Validation,Apparel
Sverve Ecommerce Global Private Limited,"North Goa, Goa, India",House-Hold Services,Validation,Personal Care
Kodehax Academy Llp,"Bengaluru Urban, Karnataka, India",Education,EarlyTraction,Education Technology
Taposthali India Private Limited,"Rewa, Madhya Pradesh, India",Food & Beverages,Prototype,Food Processing
Srrs Eco Solutions Llp,"Jhajjar, Haryana, India",Green Technology,Prototype,Others
Truffle & Beyond Private Limited,"South West Delhi, Delhi, India",Social Network,Validation,Others
Moneyhance Fintech Private Limited,"Bengaluru, Karnataka, India",Finance Technology,Validation,Personal Finance
Mayra Services Private Limited,"Guna, Madhya Pradesh, India",Professional & Commercial Services,Validation,Business Support Services
Dishan Farms India Private Limited,"Gurugram, Haryana, India",Agriculture,EarlyTraction,Food Processing
H R Group,"Varanasi, Uttar Pradesh, India",Construction,Prototype,Construction & Engineering
Hungryminds Teklicious Private Limited,"Panchkula, Haryana, India",Finance Technology,Validation,Others
Revati Technologies Private Limited,"Jamnagar, Gujarat, India",Agriculture,Validation,Agri-Tech
Focal Quantai Private Limited,"Gurugram, Haryana, India",AI,Prototype,Machine Learning
Priyma Technopack Private Limited,"Gorakhpur, Uttar Pradesh, India",Retail,Validation,Others
Innovaition Edge Private Limited,"Karur, Tamil Nadu, India",IT Services,Validation,Application Development
Trueat Foods Llp,"Vadodara, Gujarat, India",Food & Beverages,EarlyTraction,Food Processing
Team Edge,"Mehsana, Gujarat, India",Human Resources,Validation,Others
Uprep Technology Private Limited,"Bengaluru Urban, Karnataka, India",Human Resources,Validation,Recruitment Jobs
Earthminorrights Ailabs (Opc) Private Limited,"Thiruvananthapuram, Kerala, India",AI,Prototype,NLP
Aeromac Dynamics Private Limited,"Raigad, Maharashtra, India",Aeronautics Aerospace & Defence,EarlyTraction,Aviation & Others
Riyalverse Technology Private Limited,"Sonipat, Haryana, India",AR VR (Augmented + Virtual Reality),Validation,Others
Statsgrow Solutions Llp,"Vadodara, Gujarat, India",IT Services,Prototype,Product Development
Hi-Prodigy Tech Solutions Private Limited,"Gautam Buddha Nagar, Uttar Pradesh, India",Enterprise Software,Scaling,ERP
Bala Karthikaya Foods Llp,"Medchal Malkajgiri, Telangana, India",Healthcare & Lifesciences,EarlyTraction,Health & Wellness
J-Nic Institute Private Limited,"Balangir, Odisha, India",Education,Prototype,Skill Development
Italmek Plastic Corporation,"Mumbai Suburban, Maharashtra, India",Other Specialty Retailers,Validation,Home Furnishings Retailers
Gdk Services,"Visakhapatnam, Andhra Pradesh, India",AI,Prototype,Others
Landright Technologies Private Limited,"Bengaluru Urban, Karnataka, India",Real Estate,Validation,Others
Livora Tech Solutions Private Limited,"Jaipur, Rajasthan, India",IT Services,Validation,IT Consulting
Vinikul Vital Earth Essence Private Limited,"Bengaluru Urban, Karnataka, India",Healthcare & Lifesciences,Validation,Health & Wellness
Stronai Vertiq Private Limited,"Surat, Gujarat, India",AI,Prototype,Machine Learning
Iqvenus Technologies Private Limited,"North 24 Parganas, West Bengal, India",Fashion,EarlyTraction,Fashion Technology
Iqmingsen Technologies Private Limited,"Kolkata, West Bengal, India",Enterprise Software,Validation,ERP
Blue Cohort Management (Opc) Private Limited,"Bengaluru Urban, Karnataka, India",IT Services,Validation,Others
Fuelphoenix Llp,"Bhopal, Madhya Pradesh, India",Green Technology,Validation,Clean Tech
Pixie Experience Llp,"Bengaluru Urban, Karnataka, India",Events,Scaling,Event Management
Aai & Ei Private Limited,"Masaurhi, Bihar, India",Agriculture,Validation,Agri-Tech
Orin Pv Tech Private Limited,"Surat, Gujarat, India",Renewable Energy,EarlyTraction,Renewable Solar Energy
Clickseva Private Limited,"Dhenkanal, Odisha, India",Healthcare & Lifesciences,Validation,Pharmaceutical
Ridevert,"Chennai, Tamil Nadu, India",IT Services,Prototype,Product Development
Wish2care Polyclinic Llp,"Thane, Maharashtra, India",Healthcare & Lifesciences,Prototype,Healthcare Services
Shreshth Sugamaya Governance Llp,"Mumbai Suburban, Maharashtra, India",IT Services,Scaling,Product Development
Valli Agi Fintech Cybersecurity Technologies Private Limited,"Sivaganga, Tamil Nadu, India",Finance Technology,Prototype,Payment Platforms
Graminova Ai Private Limited,"Siddipet, Telangana, India",IT Services,Prototype,IT Consulting
Buddynest Care Services Private Limited,"Gurugram, Haryana, India",House-Hold Services,Validation,Home Care
Shree Enterprises,"Rampur, Uttar Pradesh, India",Agriculture,Prototype,Animal Husbandry
Stepupmark Marketing Innovations Private Limited,"Hyderabad, Telangana, India",AI,EarlyTraction,Others
Luxeintima Murrad Enterprises Llp,"Jaipur, Rajasthan, India",Healthcare & Lifesciences,Prototype,Others
Abhay Enterprise,"Mehsana, Gujarat, India",Professional & Commercial Services,EarlyTraction,Employment Services
Creative Metal Cast,"Rajkot, Gujarat, India",Automotive,Scaling,Others
Slis Solutions (Opc) Private Limited,"Surat, Gujarat, India",Technology Hardware,EarlyTraction,Embedded
Neelaakshar Private Limited,"Sultanpur, Uttar Pradesh, India",Education,Validation,Education Technology
Kluger Verstand Tech Private Limited,"Thrissur, Kerala, India",Robotics,EarlyTraction,Robotics Technology
Proximasupporthint Innovations Llp,"Bengaluru Urban, Karnataka, India",AI,EarlyTraction,Others
Gigazoid Technology Private Limited,"Gautam Buddha Nagar, Uttar Pradesh, India",Retail,Prototype,Retail Technology
Growthlabs Innovators Private Limited,"Gautam Buddha Nagar, Uttar Pradesh, India",IT Services,EarlyTraction,IT Consulting
Nxht Healthcare & Research Private Limited,"Khordha, Odisha, India",IT Services,Prototype,Product Development
Tesseract Flex Fuel Private Limited,"Dahod, Gujarat, India",Renewable Energy,EarlyTraction,Others
Niksay Tech Private Limited,"Nashik, Maharashtra, India",IT Services,Prototype,Product Development
Mymanah Private Limited,"Bengaluru Urban, Karnataka, India",Healthcare & Lifesciences,EarlyTraction,Health & Wellness
Reasonify Technology Private Limited,"Ahmedabad, Gujarat, India",AI,Prototype,Others
Sscnmodel Private Limited,"Lucknow, Uttar Pradesh, India",Telecommunication & Networking,Prototype,Integrated communication services
Procube Digital Private Limited,"Kozhikode, Kerala, India",Enterprise Software,EarlyTraction,Enterprise Mobility
Prolog Insights Zillion Market Private Limited,"Panchkula, Haryana, India",IT Services,Scaling,IT Consulting
Sportsbya Tech (Opc) Private Limited,"Thiruvananthapuram, Kerala, India",Sports,Prototype,Others
Al Kayfa Ventures Private Limited,"Srinagar, Jammu and Kashmir, India",Food & Beverages,Prototype,Food Processing
Aerosync,"Tiruvallur, Tamil Nadu, India",Media & Entertainment,Validation,Digital Media Video
Nach Innovatives Private Limited,"Chennai, Tamil Nadu, India",IT Services,Validation,Product Development
Nergyflux Technologies Llp,"Kollam, Kerala, India",IT Services,Validation,Product Development
Tredge International Private Limited,"Ernakulam, Kerala, India",Sports,Validation,Sports Promotion and Networking
Yoeki Soft Private Limited,"South West Delhi, Delhi, India",Finance Technology,Scaling,Others
Jevelon Technologies Private Limited,"Jaipur, Rajasthan, India",Enterprise Software,Prototype,Others
Kiauth Digitech Private Limited,"South West Delhi, Delhi, India",Security Solutions,Validation,Cyber Security
Ragnaar D'anconia Ventures Private Limited,"Ahmedabad, Gujarat, India",Food & Beverages,Validation,Restaurants
Forticore Technologies,"Vadodara, Gujarat, India",Security Solutions,EarlyTraction,Others
Bbanner Media Private Limited,"Lucknow, Uttar Pradesh, India",Media & Entertainment,Validation,OOH Media
Samriddhi Enterprises,"Kanpur Nagar, Uttar Pradesh, India",Construction,Prototype,Construction & Engineering
Boss Rush Games Private Limited,"Jaipur, Rajasthan, India",IT Services,Scaling,Application Development
Hylariv Technologies Llp,"Palakkad, Kerala, India",Technology Hardware,Prototype,Embedded
Narasimha Global Service And Solution Private Limited,"Saran, Bihar, India",IT Services,Scaling,Others
Phiedge Hr Tech Private Limited,"Pune, Maharashtra, India",IT Services,EarlyTraction,Others
Swapzy Private Limited,"Thiruvananthapuram, Kerala, India",IT Services,Validation,Application Development
Arogya Chetana Healthcare Private Limited,"Birbhum, West Bengal, India",Healthcare & Lifesciences,Validation,Healthcare Services
Aptoodate Technologies Private Limited,"Buxar, Bihar, India",Social Network,Prototype,Others
Nirnai Tech Private Limited,"Bengaluru Urban, Karnataka, India",IT Services,Scaling,Product Development
Aikyastor Technologies Private Limited,"Bengaluru Urban, Karnataka, India",Technology Hardware,Prototype,Electronics
The Ak’S Sakina Desalination,"Ranga Reddy, Telangana, India",Green Technology,Prototype,Clean Tech
Vasinfotec Private Limited (Opc),"Mumbai Suburban, Maharashtra, India",IT Services,Scaling,Product Development
Headsail Media Services Private Limited,"Mumbai, Maharashtra, India",Advertising,Scaling,Others
Kalpvan Labs Private Limited,"Noida, Uttar Pradesh, India",Green Technology,EarlyTraction,Clean Tech
Railnexon Equipments Private Limited,"Bhopal, Madhya Pradesh, India",Technology Hardware,Prototype,Manufacturing
Uranium Automotive Research And Development Private Limited,"Ranga Reddy, Telangana, India",Automotive,Validation,Electric Vehicles
Upturn Brands Private Limited,"Mumbai, Maharashtra, India",Professional & Commercial Services,EarlyTraction,Business Support Services
Quantumshell Intelligence Private Limited,"East Godavari, Andhra Pradesh, India",AI,Validation,Others
Narwal Automobili Private Limited,"Sonipat, Haryana, India",Automotive,Prototype,Others
Xplore Pals (Opc) Private Limited,"Bengaluru Urban, Karnataka, India",Travel & Tourism,Validation,Hospitality
Kiita Dumbang Mountain Winds Private Limited,"Pasighat, Arunachal Pradesh, India",Renewable Energy,Prototype,Renewable Wind Energy
Office Solution Ai Labs Global Private Limited,"Gurugram, Haryana, India",IT Services,Validation,Product Development
Lumo Rentals Private Limited,"Bengaluru, Karnataka, India",Travel & Tourism,EarlyTraction,Others
Vartani Ease Private Limited,"South Delhi, Delhi, India",Healthcare & Lifesciences,Prototype,Healthcare Services
Influxive Ai Labs Private Limited,"North West Delhi, Delhi, India",IT Services,EarlyTraction,Web Development
Nextgen Service,"Mehsana, Gujarat, India",Security Solutions,Prototype,Others
Parshw Madhukar Foods Llp,"Purnia, Bihar, India",Food & Beverages,Prototype,Others
Glidemobility Private Limited,"Bengaluru Urban, Karnataka, India",AI,EarlyTraction,Machine Learning
Vardhnova Biotech Private Limited,"Meerut, Uttar Pradesh, India",Biotechnology,Validation,Others
Gensync Soft Labs,"Lucknow, Uttar Pradesh, India",IT Services,Prototype,Application Development
Quaas X 108 Private Limited,"Bengaluru Rural, Karnataka, India",Healthcare & Lifesciences,Prototype,Health & Wellness
Jj Enterprise,"Mehsana, Gujarat, India",Professional & Commercial Services,EarlyTraction,Employment Services
Aarohita Vigyan Private Limited,"Garhwa, Jharkhand, India",Technology Hardware,Validation,Electronics
Theratreat Health Private Limited,"Pune, Maharashtra, India",Healthcare & Lifesciences,Prototype,Healthcare Services
Gen Zaby Ai Solutions Private Limited,"Hyderabad, Telangana, India",AI,Prototype,NLP
R S Credit Mantra Private Limited,"Chennai, Tamil Nadu, India",Professional & Commercial Services,Scaling,Business Support Services
Hybrix Fitness Solution,"Bhopal, Madhya Pradesh, India",Healthcare & Lifesciences,Prototype,Health & Wellness
Krushie Metals Private Limited,"Hyderabad, Telangana, India",Waste Management,Validation,Others
Kadaris Software Services Private Limited,"Visakhapatnam, Andhra Pradesh, India",IT Services,Prototype,Others
Safal Services,"Mehsana, Gujarat, India",Human Resources,Prototype,Others
Orbis Intelligence Private Limited,"Visakhapatnam, Andhra Pradesh, India",AI,Prototype,Others
Shaurya Forge Private Limited,"Pune, Maharashtra, India",Aeronautics Aerospace & Defence,Validation,Drones
Vencha Ai Innovations Llp,"Vellore, Tamil Nadu, India",Textiles & Apparel,Prototype,Apparel & Accessories
Trillion Defense Cybersecurity Private Limited,"Wardha, Maharashtra, India",Security Solutions,Scaling,Cyber Security
International Technology Center Private Limited,"Ahmednagar, Maharashtra, India",Green Technology,EarlyTraction,Others
Quantumconnect Labs Private Limited,"Shivamogga, Karnataka, India",Renewable Energy,EarlyTraction,Renewable Energy Solutions
Ln Software Systems Private Limited,"Hyderabad, Telangana, India",IT Services,Scaling,Product Development
Av Centralised Legal Network Solutions Llp,"Hyderabad, Telangana, India",IT Services,Prototype,Others
Veto Streaming Media Private Limited,"Gautam Buddha Nagar, Uttar Pradesh, India",Media & Entertainment,Prototype,Digital Media
Norq Technology Solutions Private Limited,"Ernakulam, Kerala, India",Internet of Things,EarlyTraction,Others
Tallow&Care Private Limited,"Bareilly, Uttar Pradesh, India",Pets & Animals,Prototype,Others
Lighthouse Facilities Private Limited,"Krishna, Andhra Pradesh, India",Human Resources,Prototype,Others
Diginaar Social Commerce Private Limited,"Chennai, Tamil Nadu, India",Media & Entertainment,Scaling,Social Media
Quiqqy Intellect Private Limited,"Kozhikode, Kerala, India",Retail,Validation,Retail Technology
Sindhal Technologies Private Limited,"Sirohi, Rajasthan, India",Education,Prototype,Education Technology
Wisefox Biofuelling Private Limited,"Sonipat, Haryana, India",Renewable Energy,Prototype,Renewable Energy Solutions
Gatirath Freights Private Limited,"Jabalpur, Madhya Pradesh, India",Logistics,Prototype,Others
Abizen Nutrition Private Limited,"Kannur, Kerala, India",Healthcare & Lifesciences,EarlyTraction,Health & Wellness
Adwate Solution Private Limited,"Aligarh, Uttar Pradesh, India",Professional & Commercial Services,EarlyTraction,Business Support Services
Satnxt Advisory Private Limited,"Bengaluru Urban, Karnataka, India",Aeronautics Aerospace & Defence,Prototype,Others
Genartml Private Limited,"Ahmedabad, Gujarat, India",AI,Validation,Machine Learning
Gameiq Ai Private Limited,"Salem, Tamil Nadu, India",Sports,Validation,Others
Ascor Labs India Private Limited,"Ranga Reddy, Telangana, India",Healthcare & Lifesciences,Prototype,Healthcare Technology
V4 Devlabs (Opc) Private Limited,"Thiruvananthapuram, Kerala, India",IT Services,Validation,Product Development
Sai Krishna Cold Storage Llp,"Allahabad, Uttar Pradesh, India",Agriculture,Scaling,Horticulture
Tolarix Innovations (Opc) Private Limited,"Ernakulam, Kerala, India",Education,Validation,Education Technology
Vidyaa Saarthi Private Limited,"Agra, Uttar Pradesh, India",Education,Prototype,Education Technology
Outreach Innovation Private Limited,"Gondia, Maharashtra, India",Social Network,EarlyTraction,Others
Auryn Buildcon Private Limited,"Gurugram, Haryana, India",Construction,EarlyTraction,Construction & Engineering
Yuoom Travel Hub Llp,"Ujjain, Madhya Pradesh, India",Travel & Tourism,Scaling,Others
Diversesphere Software Solutions Private Limited,"Ernakulam, Kerala, India",IT Services,Scaling,Product Development
Phantara Wellness Nexus Private Limited,"Central Delhi, Delhi, India",Healthcare & Lifesciences,Prototype,Healthcare Technology
Dobbe Ai Health Private Limited,"West Delhi, Delhi, India",Healthcare & Lifesciences,EarlyTraction,Healthcare IT
Machelf Private Limited,"Palakkad, Kerala, India",Healthcare & Lifesciences,EarlyTraction,Medical Devices Biomedical
