Investor name,Website,Global HQ,Investment thesis,Investor type,Preferred Stages,Cheque Min,Cheque Max
Sunicon Ventures,https://www.sunicon.in,"303, Kumar Plaza, Near Kalina Market, Kalina Kurla Rd, Santacruz East, Mumbai, Maharashtra 400029","We invest in industries including but not limited to Agritech, AI, AR, Biotech, Blockchain, D2C, SaaS, Supply Chain, VR, Web3.",VC,"['Prototype', 'Early Revenue', 'Scaling']",100000,400000
Core91 VC,https://core91.vc,"Mumbai, India",We invest in B2b SaaS startups generally before they’ve hit $1M ARR,VC,"['Idea or Patent', 'Prototype', 'Early Revenue']",50000,350000
Save the Children Global Ventures,https://scgv.org/,"33 Lincoln Square South, Carlton, VIC 3053, Australia","We invest in scalable solutions (SaaS, fintech, healthtech, agtech, regtech) startups addressing the problems and populations served by Save the Children's body of work: ECD through secondary education, child & maternal health, climate adaptation, financial inclusion, advocacy, fundraising.",VC,"['Scaling', 'Growth', 'Early Revenue']",150000,500000
BimTek Group,https://bimtek.co.in/,"Delhi, India","We invest in Real Estate, Infrastructure, Consumer Tech",Family office,"['Pre-IPO', 'Growth']",10000000,15000000
Sinarmas Technology,http://www.sinarmas.com,"Bangalore, India","We invest in pre-Seed to Series-B stage, with preferred business models being platforms (aggregators, marketplaces, etc.), SaaS and deep-tech. Within these models, fairly sector-agnostic and comfortable with B2B as well as B2C. Software, asset-light, and highly scalable models are the favorites. ",VC,"['Early Revenue', 'Scaling', 'Growth', 'Prototype']",200000,10000000
Fidelity International Strategic Ventures,https://fisv.com/,"4 Cannon Street, London EC4M 5AB",We invest in Fintech strategic to Fidelity International,VC,"['Scaling', 'Early Revenue', 'Growth']",3000000,15000000
Miracleplus (Former Y-Combinator China),https://www.miracleplus.com/en/,"Haidian district, Chengfu Road, Beijing, CN",We accelerate startups across all verticals and geographies from ideation to Series B,"Incubator, Accelerator","['Idea or Patent', 'Prototype', 'Early Revenue', 'Scaling', 'Growth']",300000,12000000
Crypto Kingdom Ventures,https://cryptokingdom.ventures/,55 Doha Road - Al Qusais 1 - Dubai - UAE,We invest in projects that solves real world problems using blockchain technology. We prefer DeFi projects,VC,['Early Revenue'],10000,75000
big_bets,https://bigbets.tech/,"São Paulo, Brasil",We invest in founders trying to create the largest tech companies of the next generation.,VC,"['Idea or Patent', 'Prototype', 'Early Revenue']",300000,2000000
Striking Markets,https://striking.markets/,"The Hague, Netherlands","We invest in FinTech, blockchain, entertainment and the creator economy. We invest in early stage; pre-seed, seed and series A. We target investments <$20MM post-money valuation with traction.",Angel network,"['Prototype', 'Early Revenue']",10000,100000
JT ventures,https://www.linkedin.com/company/jtventures/,"No. 302, 3rd Floor, Wing - 1 Block, HM Tech Park, Prashanth Extension, Whitefield Main Road, Bangalore, Karnataka 560066, IN",We invest in Disruptive innovation,Family office,['Early Revenue'],50000,250000
Cisco Climate Commitment,https://www.cisco.com/c/en/us/about/csr/climate-impact-regeneration.html,"Cisco Systems, Inc. 170 West Tasman Dr. San Jose, CA 95134 USA","We invest in climate solutions across ClimateTech, IoT, CleanTech, AgTech, Regenerative Agriculture, Carbon, EnergyTech, Urban, Cities, and Circular Economy.",Corporate VC,"['Idea or Patent', 'Prototype', 'Early Revenue', 'Scaling']",200000,2000000
OM DAO Ventures,https://omdao.vc/,"5830 East 2nd St. #94700 Casper, WY 82609 USA","We invest in web3. Currently, our primary focus lies in supporting promising web3 initiatives at the pre-seed and seed stages. We have a keen interest in projects within the DeFi, Gaming, and Infrastructure sectors, which top our priority list. ",VC,"['Prototype', 'Early Revenue', 'Scaling', 'Growth']",30000,300000
Critical Ventures,https://www.critical-ventures.com/,"Parque Industrial Do Taveiro, Lt. 48, Taveiro, Coimbra","We invest in IoT, Web3, fintech, AI, ML, DevOps, Blockchain... from seed to series B",VC,"['Scaling', 'Early Revenue', 'Prototype', 'Idea or Patent']",250000,3000000
Frontierspace Ventures,https://www.frontierspacevc.com/,"Neb Sarai , New Delhi, India",We invest in startups with good revenue growth and a top tier VC on the cap table/leading the round,VC,"['Early Revenue', 'Scaling', 'Growth']",100000,1000000
Sahith Aula,https://medium.com/@sahitha,"New York, New York","I invest in Pre-Seed and Seed Emerging Markets Fintech

While I'm focused on emerging markets fintech, I also consider non-fintech companies where embedded finance has the potential to be 25%+ of the revenue.

Evidence of early-traction and SAM are important in my analysis. SAM = # of viable customers x annual customer value.",Solo angel,"['Idea or Patent', 'Prototype', 'Early Revenue']",5000,50000
I XCEL Ltd,https://ixcel.co/,"U1, Reynard Way, London, TW8 9GD United Kingdom",We invest in businesses and founding teams with significant potential to grow and create value through socio economic activities with early cash flows.,Startup studio,"['Idea or Patent', 'Prototype', 'Early Revenue', 'Scaling', 'Growth', 'Pre-IPO']",25000,100000
Telah,https://telah.vc/,"19 Avenue d'Italie, 75013 Paris, France","We invest in innovative internet companies (Web3, Blockchain, Consumer, VR, games)",Angel network,"['Prototype', 'Idea or Patent', 'Early Revenue', 'Scaling']",150000,300000
Aperio Partners ,https://aperio.partners,B-19 Ganesh Bhavan Tulsi Pipe road Mumbai ,"We invest in companies across consumer tech, fintech, healh tech, mobility/logistics, and SaaS, deeptech etc.",VC,"['Early Revenue', 'Scaling']",150000,450000
FundL Ventures,https://fundl.ventures/,"2F Nittochi Building, 1-4-1 Kasumigaseki, Chiyoda-ku, Tokyo 100-0013","We invest in cleantech, climatetech, renewable energy, EV, agritech and other sectors that yield a positive social impact.",VC,"['Idea or Patent', 'Prototype', 'Early Revenue']",135000,1500000
Colopl Next,https://www.coloplnext.co.jp/?lang=en,"Japan, 〒107-0052 Tokyo, Minato City, Akasaka, 9 Chome−7−2 6F Midtown East",We invest in anything that provides real-life entertainment.,Corporate VC,"['Early Revenue', 'Scaling', 'Growth', 'Pre-IPO']",100000,5000000
sandstorm.vc,https://sandstorm.vc/,"Burj Khalifa Boulevard, Dubai, UAE","We invest in B2B SaaS, FinTech, HealthTech, Industry 4.0.",Angel network,"['Prototype', 'Early Revenue', 'Idea or Patent']",50000,500000
Huddle Ventures,https://huddle.work/,"WeWork, Two Horizon Center, Gurgaon, Haryana, 122002","We invest in Climate, Consumer, Commerce",VC,"['Idea or Patent', 'Prototype', 'Early Revenue']",500000,1000000
CouchPotato,https://couchpotato.vc,"Bengaluru, India","We invest in SaaS, fintech, future of work, climate tech, dev tools and more. We’re thesis-driven but also founder-focused in our approach.

At Couchpotato, we believe that exceptional founders are the driving force behind transformative companies. Our mission is to empower ambitious entrepreneurs by providing patient capital and hands-on support in the earliest stages of startup journeys.

We invest pre-seed and seed, writing $100K checks as a founder's first outside capital. This enables entrepreneurs to get started and gain momentum without substantial dilution.

In addition to flexible financing, we take an active role in helping de-risk the startup process. Our team of experienced operators advises on growth, product-market fit, hiring key roles, forming partnerships, and raising future rounds.

We leverage our network to connect portfolio companies with advisors, customers, technical talent and follow-on investors. By sharing playbooks and facilitating pilot projects, we help founders avoid common pitfalls.

Our ideal founders are relentless learners who demonstrate grit, creativity and vision. We believe diverse, well-rounded teams outperform those with narrow expertise. Founders we back question assumptions, communicate effectively, and balance passion with pragmatism.

We designed Couchpotato to provide maximum autonomy with accountability. Our founder-friendly terms empower startups to take risks and maintain control. We drive alignment through transparency and only succeed when our portfolio succeeds.

If you are an ambitious innovator ready to take the leap, we want to fund you on your journey. Let’s build the future together, $100K check at a time.",Angel network,"['Idea or Patent', 'Prototype', 'Early Revenue']",10000,100000
Shift Left Ventures,https://shiftleft.ventures,"4100, Spring Valley Road, Suite 270, Farmers Branch, TX. 75244",We invest in B2B.,VC,"['Idea or Patent', 'Prototype', 'Early Revenue']",50000,250000
O2 Angels Network,https://www.o2angels.net,"Noida, India",We invest in Deeptech,Angel network,"['Idea or Patent', 'Prototype', 'Early Revenue', 'Scaling']",50000,500000
1 4 All Group,https://1-4-all.group/,"Building 2, Dubai Silicon Oasis, Dubai, UAE","We invest in all 6 economic sectors: Financial (fintech etc), Consumer (IoT, web3, prop tech food tech etc), Healthcare (longevity, biotech, pharmtech etc), Energy, Mining and Industrials (renewable, energy, mining tech etc), IT and Media (SaaS, platform etc), Infrastructure, Real Estate and Utilities.

Being value investors we look for startups that have realistic valuation ideas and are willing to sufficiently pivot with our help.",Family office,"['Early Revenue', 'Scaling', 'Growth']",100000,14000000
Transition VC,https://transitionventurecapital.com/,"Bangalore, India","We invest in Electric Vehicles, Renewable Energy, Hydrogen, Energy Storage, Carbon, etc. Either enhancing energy effciency or reducing carbon emissions directly/indirectly.",VC,"['Prototype', 'Early Revenue', 'Scaling']",250000,2000000
Cervin Ventures,https://www.cervin.com,"705 Forest Avenue Palo Alto, CA 94301","We invest in enterprise software, data and AI, cybersecurity, DevOps, cloud, and networking.",VC,"['Prototype', 'Early Revenue']",250000,6000000
Fluent Ventures,https://www.fluentvc.com/,"San Francisco, CA, USA","We invest in fintech, commerce and health. Geographic Arbitrage: we look to invest in similar business models across multiple markets. ",VC,"['Early Revenue', 'Scaling', 'Growth']",200000,2000000
NGP Capital,https://www.ngpcap.com/,"418 Florence Street Palo Alto, CA 94301, USA","We invest in early-stage B2B companies from Series A onwards in Europe, the US, Israel, and China within enterprise software, industrial tech, cybersecurity, and infrastructure.",VC,['Early Revenue'],5000000,10000000
SHRMLabs,https://www.shrmlabs.com/,"1800 Duke Street, Alexandria, Virginia 22314, US","We invest in HRTech, workplaceTech and future of work technologies.",VC,"['Early Revenue', 'Scaling', 'Growth']",50000,200000
ISX8 Ventures,https://isx8.com/,"San Mateo, CA 94403, US","We invest in disruptive, product-driven startups within enterprise SaaS, AdTech, MarTech, AI, developer tools, and productivity solutions. We seek companies with a proven business model, demonstrated traction, and existing co-investors or angel support.",Angel network,"['Early Revenue', 'Scaling', 'Growth']",50000,100000
Neil Mehta,https://www.simera.co.uk,London,"I invest in Tech4Good, mobile apps, and/or SaaS innovation for the benefit of local communities around the world, not just for profit purposes.",Solo angel,"['Early Revenue', 'Scaling']",,300000
Indus Equity Partners,https://www.indusequitypartners.com/,"604B Arcadia, 6th Floor, South City - II, Sector 49, Gurgaon - 122018, Haryana, India",We are a Sector Agnostic PE fund.,PE fund,"['Scaling', 'Growth', 'Pre-IPO']",50000000,100000000
Arkstons Capital,https://venture.angellist.com/arkstons-capital/syndicate,"London, United Kingdom","We invest in IoT, Fintech, SaaS, Tech, EdTech across stages",Angel network,"['Pre-IPO', 'Growth', 'Scaling', 'Early Revenue', 'Prototype', 'Idea or Patent']",50000,500000
SurgeDAO,https://twitter.com/surgestrategies,"Noida, Delhi, India","We invest in Pre-Seed rounds and Early-Stage companies that operate in the web3 space, and more specifically, operating under the Decentralized Finance (DeFi) umbrella. We're looking at deal flow within the $3-5Mil Valuation Range.

Sectors we're focussed on:
1) Bitcoin ecosystem
2) AI narrative
3) AI + Decentralized storage
4) DePins
5) DVT
6) Modular Thesis

Although this is not set in stone - we're open to looking at and evaluating deals across just any sector or make a narrative play, if the project and the team is solid enough. ",Angel network,"['Idea or Patent', 'Prototype']",10000,50000
Seedventure Limited,http://seedventure.uk/,"Office 484 321-323 High Road, Chadwell Heath, Essex, United Kingdom, RM6 6AX","We invest in IoT, Fintech, SaaS, Tech, EdTech across stages",VC,"['Early Revenue', 'Scaling', 'Growth']",100000,10000000
Anmol Goel,https://www.gacsltd.com,London,I invest in tech based seed to series B companies,Solo angel,"['Early Revenue', 'Scaling']",25000,100000
Homegrown CPG,https://homegrowncpg.com/,"Dubai, United Arab Emirates",We invest in CPG / FMCG startups that has a better-for-you products with a minimum revenue of $1M to $2M per year. ,VC,"['Early Revenue', 'Scaling']",100000,1000000
Sachin Sutariya,https://sachinsutariya.in,"Surat, Gujarat, India","I invest in AI/ML and B2B from Global Market, Pre-revenue stage",Solo angel,"['Prototype', 'Early Revenue', 'Scaling']",5000,50000
TRTL Ventures,https://trtl.vc/,"168 Robinson Rd, Singapore 068912","We invest in data-driven Indian founders and startups, sector agnostic.",VC,"['Prototype', 'Early Revenue', 'Scaling']",150000,200000
yard[hub],https://yardhub.tech/,"DIFC, innovation hub, Dubai, UAE",We accelerate web3 startups. Our goal is to revolutionize the way we interact with the web by developing cutting-edge Web3 technologies,"Incubator, Accelerator","['Idea or Patent', 'Prototype', 'Early Revenue', 'Scaling']",50000,200000
Rogue Opportunities ,https://www.rogue360.in/,"607/B, Pinnacle Business Park, Corporate Road, Prahlad Nagar, Nr. Auda Garden, Ahmedabad, Gujarat 380015, IN","We invest in Fintech, Saas, IoT",Angel network,"['Early Revenue', 'Scaling', 'Prototype', 'Idea or Patent']",50000,750000
Sprint1,https://sprint1.vc/,"W177N9856 Rivercrest Dr #102, Germantown, WI 53022","We co-found SaaS startups with non-technical/first time founders in healthcare, HRTech, SalesTech and B2b SaaS",Startup studio,"['Idea or Patent', 'Prototype']",10000,100000
Jaiatech Ventures,https://www.jtventures.in/,"No. 302, 3rd Floor, Wing - 1 Block, HM Tech Park, Prashanth Extension, Whitefield Main Road, Bangalore, Karnataka 560066, IN",We invest in disruptive innovation,Family office,"['Early Revenue', 'Prototype', 'Scaling', 'Growth', 'Pre-IPO']",100000,500000
SBI Ven Capital Pte Ltd,https://www.sbivencapital.com.sg/,"1-6-1 Roppongi, Minato-ku, Tokyo","We invest in seed to Series A companies across the Web3 space, such as Web3 Infrastructure, DeFi, Metaverse, Gaming, Asset Tokenization, and commercialized use cases of the distributed ledger technology.",VC,"['Early Revenue', 'Prototype', 'Scaling']",500000,5000000
Red Pin Capital,https://www.redpincapital.com,"London, UK","We invest growth equity through to IPO, backing visionary entrepreneurs through an engaged capital base, strategic relationships, and proprietary insights from some of the world’s most remarkable people.

A huge thematic focus for us is to solve the capital gap for Early-Stage VCs and their follow-on rounds. We partner with Early-Stage VCs to double down in their leading companies. Small, specialist VCs are the first funders of 80% of unicorns and tech IPOs, but 90% of the time, these first funders lack the capital to follow on in their growth stage winners.

We target venture returns at lower risk and duration.

Our focus spans across, DeepTech, FinTech, IoT, SaaS, Consumer Goods and Brands, Media, Sport, AI, Blockchain and Gaming.",VC,"['Scaling', 'Growth', 'Pre-IPO']",500000,10000000
Okya Ventures,https://venture.angellist.com/okya-ventures/syndicate,"5 Bedok Reservoir View, Singapore 478928","We typically invest in pre-seed/seed stage startups with the following focus areas: AI/ML, Deep Tech, Enterprise Software, SaaS.",Angel network,['Early Revenue'],80000,200000
Media Investments,https://www.mediainvestments.com/,"MEDIA INVESTMENTS LTD71-75, Shelton Street, Covent Garden, London, WC2H 9JQ, UNITED KINGDOM","We invest in SaaS, AdTech, online businesses with $1m+ ARR/top line revenue.",Corporate VC,"['Scaling', 'Growth', 'Pre-IPO']",1000000,18000000
Octava,https://octava.sg/,"8 Temasek Blvd, Singapore 038988","We invest in fintech and AI software startups that have generated revenue, or between seed to series A stage.",Family office,"['Early Revenue', 'Scaling']",500000,2000000
Akhilesh Chandra,https://forms.gle/ad8FQrXTS8GjyPwH7,USA,"I invest in AI, Gaming/Esports, Web3.0, SAAS, Entertainment Tech, FinTech & HealthTech.",Solo angel,"['Idea or Patent', 'Prototype', 'Early Revenue', 'Scaling', 'Growth']",50000,500000
CSGo Hub (Crypto Serumpun Go Hub),https://csgohub.io,South East Asia,We incubate web3 projects; Sector Agnostic: AI / RWA / GameFi / DePin / BRC20 / DeFi / L0 / L2 etc.,"Incubator, Accelerator","['Prototype', 'Early Revenue', 'Scaling', 'Growth', 'Pre-IPO']",10000,3000000
DIY Lithium,https://lithium.co,"154 Grand St, New York, NY 10013","We accelerate founders who have (1) gotten promoted somewhere real, and/or (2) returned capital to someone, at any scale.","Incubator, Accelerator","['Idea or Patent', 'Prototype', 'Early Revenue', 'Scaling']",20000,200000
NOW Venture Studio,https://nowventurestudio.com/,"1st Cross Rd, Santhosapuram, Koramangala 3 Block, Koramangala, Bengaluru, Karnataka 560034",We build category leaders in Sustainability & ClimateTech by leveraging DeepTech and DeepScience led innovations ,Startup studio,"['Idea or Patent', 'Prototype']",25000,250000
Amit Gogia,https://www.amitrajgogia.com,India,"I invest in ventures building at the intersection of consumer and healthcare focussed on India.

Current portfolio is a mix of consumer, ed-tech and SaaS.",Solo angel,"['Early Revenue', 'Scaling']",10000,25000
Startup Sherpas,https://www.startupsherpas.in/,"Gurugram, India",We accelerate innovative and scalable Consumer Brands and D2C Startups with signs of strong early adoption. We enable capital and meaningful mentorship from accomplished consumer industry folks and leadership of successful consumer startups to help build winning brands.,"Incubator, Accelerator","['Early Revenue', 'Scaling', 'Prototype']",50000,50000
Elevar Equity,https://www.elevarequity.com,"Bengaluru, India",We invest in businesses serving the low income communities and small businesses.,VC,"['Early Revenue', 'Idea or Patent', 'Prototype', 'Scaling', 'Growth']",1000000,10000000
CREDX Ventures,https://credx.ventures,"Toronto, Canada",We invest in pre-seed to Series A rounds across all sectors.,Other,"['Early Revenue', 'Prototype', 'Scaling', 'Growth', 'Pre-IPO', 'Idea or Patent']",50000,250000
AngelSpark,https://angelspark.net/,"in5 Tech, Dubai","We invest in promising and exciting startups in fintech, IoT, web3, SaaS, developer tools, open source, F&B, ISP. We are geography & sector agnostic.",Angel network,"['Idea or Patent', 'Prototype', 'Early Revenue', 'Scaling']",100000,100000
CobuildX,https://cobuildx.com/,"Austin, TX","We cobuild startups in the software space- Web3, Fintech, SaaS, healthcare, retail and enterprise.  We have three buckets of engagements:

Launch Catalyst
From vision to MVP, fuel ​your early-stage startup ​journey with expert ​mentoring and seamless ​product building.

Scale Catalyst
Scale your startup with ​precision and efficiency, ​unlocking unparalleled ​growth and success.

Venture ​Catalyst
Join the Venture Catalyst ​program to  get to a VC-​investible milestone, 5X ​faster.",Startup studio,"['Prototype', 'Early Revenue', 'Scaling', 'Growth', 'Pre-IPO', 'Idea or Patent']",15000,25000
Harriet Ventures,https://www.harrietventures.com/,"St. Petersburg, FL US","We buy majority stake in cash-flowing companies with > $500k in EBITDA and we are bullish on fintech, saas, ai, B2C, B2B, Ed tech, prop tech, health tech, social impact, gaming, bio-tech, Smb, built by women/ black / Latino/ LGBT  founders and many more. ",PE fund,"['Scaling', 'Growth', 'Pre-IPO', 'Early Revenue']",500000,50000000
Rahul Thakur  Thakur,https://www.openvc.app/,New delhi,I invest in,Solo angel,['Scaling'],,20000000
Travel Capitalist Ventures,https://travelcapitalist.com/,"Al Funduq Street, Level 22, Doha, QA","We invest in (exclusively) travel companies from late seed to Series B companies. B2B and B2C companies in (but not limited to) travel fintech, travel technology platforms, travel exchanges, travel payment solutions and hotel real estate investments. Have 7 investments around the world (Brazil, USA, India, MENA..) and actively help post investment.",VC,"['Early Revenue', 'Scaling', 'Growth', 'Pre-IPO']",500000,5000000
Phoenix Venture Partners Ltd.,https://pvp-me.com/,"Al Maryah Island, ADGM square, Al Maqam Tower, 34th floor, Office 3415, Abu Dhabi, UAE","We invest in seven technology sectors including Fintech & Insuretech, Healthtech, Agritech & Foodtech, Edtech, Enertech, Logtech & mobility, and Consumer tech. We are keen to fund business models and technologies with the potential to disrupt B2C and B2B markets across the GCC, the MENA and the G20 economies. We are backing early-stage companies in Seed, Series A and B with a Capital Allocation strategy of up to 5% in scouting, up to 35%-40% in first investments, and up to 60% in follow-ons. Our typical investments range from USD 100,000 to USD 7.5 million, with an opportunity to invest a total of up to USD 7.5 million into one company over its lifetime.",VC,"['Early Revenue', 'Scaling', 'Growth']",100000,3000000
Titan Capital,https://www.titancapital.vc/,"Gurugram, India","We invest in early-stage companies with a valuation cap of $6M USD. Sector agnostic. Cheque size of $300K-$500K USD.
Titan Capital is typically the first investor in the companies it invests in and the startup team is the number one criteria for us. We look for passionate founders who are deeply committed to building their businesses and will be able to move mountains to reach their desired destination.
",Family office,"['Early Revenue', 'Prototype', 'Idea or Patent']",300000,500000
XVC Tech,http://www.xvc.tech/,"DIFC, Dubai, Dubai AE","We Invest in Web3 and Blockchain-based startups with commercially launched, early revenue ",VC,"['Scaling', 'Growth']",250000,2000000
Chandigarh Angel Network,https://chandigarhangelsnetwork.com/,"Chandigarh, India",We invest in early-stage Indian companies across all industries and verticals.,Angel network,"['Idea or Patent', 'Prototype', 'Early Revenue']",100000,400000
Hummingbird Capital Partners,https://www.hcpartners-group.org/,"Nueschelerstrasse 31, CH-8001 Zuerich, Switzerland","We invest in DeFi (operating on public blockchain networks) when their ARR – annual recurring revenue normalized on an annual basis (NOT annualized run rate) – demonstrates meaningful traction and scalability potential, aligning with our risk-return objectives. 

While we consider ARR as part of our investment evaluation process, we also assess user adoption, retention rates, transaction volume, technological innovation, legal & regulatory compliance, team expertise & values, cultural fit and market opportunity. 

We encourage open dialogue and transparency throughout the evaluation process to ensure mutual alignment and maximize the potential for a successful long-term partnership.",PE fund,"['Early Revenue', 'Scaling', 'Growth', 'Pre-IPO']",50000,3000000
Techne Infiniti Ventures,https://techne.vc,"20370 TOWN CENTER LANE, SUITE 150, CUPERTINO, CALIFORNIA 95014","We invest in hospitality technology (accommodation, food & beverage, travel & tourism, recreation, entertainment and wellness). We are looking for great co-founders who have an unfair advantage or unique insights on the problem.  We also look for IP defensibility.",VC,"['Idea or Patent', 'Prototype', 'Early Revenue']",50000,1000000
Chirag Sheth,https://investorsnetworkgroup.com/,"Charlotte, NC","I invest in Revenue generating. ARR $5M+, Sector Agnostic. Sweet Spot $500k to $1M. CAP $5M.  ",Solo angel,"['Prototype', 'Early Revenue', 'Scaling']",25000,1000000
Spiral Ventures,https://spiral-ventures.com/,"328 North Bridge Road, Raffles Hotel Arcade, Level 02-20, Singapore 188719","We invest in Pre-Seed up to Series A round. Sectors that we have invested in: E-Commerce, Marketplace, FinTech, HealthTech, Supply Chain, Manufacturing as a Service, B2B/Enterprise Solution, SaaS, Consumer Platform, etc.",VC,"['Early Revenue', 'Prototype', 'Scaling']",100000,1000000
Rukam Capital,https://www.rukamcapital.com/,India,We invest in purpose-led founders obsessed with solving hard problems at scale by creating products and companies.,VC,"['Early Revenue', 'Scaling', 'Prototype']",50000,1000000
Sector 7,https://venturestudio.sector7hq.co/,"Sector 7, WeWork Raheja Platinum, Mumbai - 400057","We are sector-agnostic but are inclined towards fintech, deeptech, D2C, consumer tech businesses",Startup studio,"['Idea or Patent', 'Prototype', 'Early Revenue', 'Scaling', 'Growth', 'Pre-IPO']",5000,150000
