NAME,INVESTOR_TYPE,PREFERRED_STARTUP_STAGES,FOCUS_INDUSTRIES,FOCUS_SECTOR,SERVICE_AREAS,INVESTMENT_RANGE,LOCATION,EXISTENCE_SCORE,TYPE_SCORE,INDUSTRY_SCORE,STAGE_SCORE,RANGE_SCORE,LOCATION_SCORE,OVERALL_SCORE,VERDICT,SOURCES,DATE_ADDED,VERIFIED_BY
Ankur Capital,Venture Capital,"Early Traction, Scaling","Agritech, DeepTech, ClimateTech, Healthcare, Education, Financial Services, Digital Technology","Synthetic Biology, AI / ML, ClimateTech / CleanTech, HealthTech, FoodTech, AgriTech, Financial Inclusion","Digital Tech-led Businesses, Deep Science / IP Innovation, ClimateTech / CleanTech, Inclusive Growth, B2B / B2C Models, Hands-on Support (AnkurGro), Strategic Guidance, Network Access",?4.15 Cr – ?41.5 Cr INR,"Mumbai, Maharashtra, India",1.00 - multiple confirmed official funds and profiles,1.00 - consistently identified as an early-stage VC fund,1.00 - core focus on Digital Tech and Deep Science/Impact themes confirmed,1.00 - targets Seed/Early Stage (Early Traction to Scaling) confirmed,0.90 - check size typically $500K-$5M USD,"1.00 - HQ Mumbai, India confirmed",0.98,VALID,[https://www.ankurcapital.com/](https://www.ankurcapital.com/); [https://www.indianvcs.com/investor/ankur-capital](https://www.indianvcs.com/investor/ankur-capital); [https://yourstory.com/2022/07/ankur-capital-prepares-launch-usd-150-m-third-fund-tech-startups](https://yourstory.com/2022/07/ankur-capital-prepares-launch-usd-150-m-third-fund-tech-startups),23-10-2025,Swarnim
Indus Equity Partners,Private Equity / Growth,"Scaling, Growth, Pre-IPO",Sector-agnostic,"HealthTech, Fintech, Specialty Manufacturing, Technology & Business Services, Consumer","Capital, Strategic Consulting, Financial Engineering, Team Building, Business Development, Corporate Governance, M&A/Exit Support",?415 Cr – ?830 Cr INR,"Gurgaon, Haryana, India",1.00 - multiple official profiles found,1.00 - explicitly identified as a Private Equity fund manager,"0.90 - self-identified as Sector-agnostic, with strong focus on HealthTech/FinTech/Tech",1.00 - targets Mid-Sized companies at Series B/C (Scaling to Pre-IPO),"0.90 - check size stated as $50M-$100M USD, or sometimes $500K-$50M","1.00 - HQ Gurgaon, Haryana confirmed",0.98,VALID,https://www.openvc.app/fund/Indus%20Equity%20Partners; https://www.indusequitypartners.com/about-us/,23-10-2025,Swarnim
Neil Mehta,Angel,"Early Revenue, Scaling","Tech4Good, Mobile Apps, SaaS Innovation","Tech for Communities, SaaS","Angel Investment, Philanthropic/Impact Focus, Strategic Support, Network Access",?41.5 L – ?3.32 Cr INR,"London, UK",1.00 - multiple unique profiles found,1.00 - explicitly claims 'Solo angel' investor role,"1.00 - explicit 'Tech4Good, mobile apps, SaaS innovation' focus confirmed",1.00 - targets Early Revenue and Scaling stages,0.90 - check size stated as $50K-$400K USD,"1.00 - HQ London, UK confirmed",0.98,VALID,https://www.openvc.app/fund/Neil%20Mehta; https://find-and-update.company-information.service.gov.uk/officers/JGzRWDRsJeYGUwSZ3YnP4Mgw6Bs/appointments; https://www.youtube.com/watch?v=502sB_IbjpQ,23-10-2025,Swarnim
ISX8 Ventures,Angel Network,"Early Revenue, Scaling","Enterprise / B2B, AdTech, MarTech, AI, Developer Tools, Productivity","SaaS, Marketing Tech, AI / ML, Enterprise Platforms, Developer Tools","Angel Investment, Strategic Support (PMF/Pricing/Revenue/M&A), Network Introduction, Co-investing",?41.5 L – ?83 L INR,"San Mateo, California, USA",1.00 - OpenVC and VCA profiles found,1.00 - clearly self-identifies as an Angel Network,1.00 - focus sectors fully confirmed,"1.00 - targets Early Revenue, Scaling, and Growth stages",0.90 - check size stated as $50K-$100K USD,"1.00 - HQ San Mateo, CA confirmed",0.98,VALID,https://www.openvc.app/fund/ISX8%20Ventures; https://venturecapitalarchive.com/venture-funds/isx8-ventures-isx8-com,23-10-2025,Swarnim
Sandstorm.vc,Angel Network,"Validation, Early Traction, Ideation","SaaS, Fintech, HealthTech, Industry 4.0","Enterprise / B2B SaaS, MedTech, Industrial Automation","Syndicate Investment, Low Admin/Speedy Decisions, Strategic Network/Market Access (MENA/EU/AUS)",?41.5 L – ?4.15 Cr INR,"Dubai, UAE",1.00 - official site and syndicate listings confirm existence,1.00 - explicitly defines itself as a 'private angel investing syndicate',"1.00 - all focus sectors (SaaS, Fintech, HealthTech, Industry 4.0) confirmed","1.00 - targets earliest stages (First ticket to Series A, Ideation to Early Traction) confirmed","0.95 - stated check size $50K-$500K USD, sweetspot $100K-$200K","1.00 - HQ Dubai, UAE confirmed",0.99,VALID,https://sandstorm.vc/; https://www.openvc.app/fund/sandstorm.vc; https://pitchbook.com/profiles/investor/1080794-80,23-10-2025,Swarnim
Colopl Next,Corporate VC,"Early Traction, Scaling, Growth, Pre-IPO","Entertainment, Gaming, Consumer","Mobile Games, AR / VR, Creator Economy, AI, Lifestyle, Health","Equity Investment (Seed to Growth), Hands-on Support, Network Access (200+ Portfolio, Advisors), VR/AR Focus",?83 L – ?415 Cr INR,"Tokyo, Japan",1.00 - numerous confirmed institutional profiles,1.00 - official VC arm of Colopl Inc. (CVC),"1.00 - core thesis (Entertainment, VR/AR, Gaming, B2C) confirmed",1.00 - targets Seed to Series C+ (Early Traction to Pre-IPO) confirmed,0.90 - check size typically $100K-$5M USD,"1.00 - HQ Tokyo, Japan confirmed",0.98,VALID,https://hub.waveup.com/funds/colopl-next; https://www.coloplnext.co.jp/; https://unicorn-nest.com/funds/colopl-next,23-10-2025,Swarnim
Okya Ventures,Angel Network,Early Traction,"AI, DeepTech, Enterprise / B2B, Fintech","Machine Learning, SaaS Platforms, Enterprise / B2B Tools","Syndicate Investment, Product Market Fit (PMF) Mentorship, Network Access (Founders/Executives)",?66.4 L – ?1.66 Cr INR,Singapore,1.00 - AngelList/OpenVC profiles found,1.00 - clearly stated as AngelList Syndicate / Angel Network,"1.00 - core focus (AI/ML, Deep Tech, Enterprise SaaS) fully confirmed",1.00 - targets Pre-seed/Seed (Early Revenue/Traction) confirmed,"0.95 - typical check $80K-$200K USD, min LP check $1K",1.00 - HQ Singapore confirmed,0.99,VALID,https://venture.angellist.com/katha/syndicate; https://www.openvc.app/fund/Okya%20Ventures,23-10-2025,Swarnim
Rukam Capital,Venture Capital,"Prototype, Early Traction, Scaling","Consumer, D2C, Purpose-led / Social Impact","Consumer / D2C (Food, Wellness, BPC), Brand Tech, AI / Deep Tech (Sitara Fund)","VC Investment (Seed to Series A), Strategic Support, Team Building, GTM Strategy, Distribution/Market Access, Founder Mentorship",?41.5 L – ?8.3 Cr INR,India,1.00 - multiple confirmed funds and profiles,1.00 - consistently identified as an early-stage VC fund,1.00 - focus on D2C/Consumer and Tech (AI/SaaS) confirmed,1.00 - targets Seed to Series A (Prototype to Scaling) confirmed,0.90 - check size stated as $50K-$1M USD,"1.00 - HQ India (New Delhi, operating across India) confirmed",0.98,VALID,https://www.openvc.app/fund/Rukam%20Capital; https://rukamcapital.com/; https://rukamcapital.com/pitch-to-us/,23-10-2025,Swarnim
Spiral Ventures,Venture Capital,"Prototype, Early Traction, Scaling","Technology, E-commerce, Fintech, HealthTech, Supply Chain, Manufacturing, Consumer","Marketplace, SaaS / Enterprise, Fintech, IoT, Mobility / Logistics, B2B, HealthTech","VC Investment (Seed to Series A), Strategic Support, Japanese Corporate Partnerships, Market Access / Collaboration, Scale Enablement",?83 L – ?41.5 Cr INR,Singapore,1.00 - numerous confirmed institutional profiles,1.00 - officially identified as a VC fund,1.00 - sector-agnostic early-stage tech focus confirmed,1.00 - targets Pre-Seed to Series A (Prototype to Scaling) confirmed,0.85 - initial check $100K-$1M (with later stage range up to $5M),1.00 - HQ Singapore confirmed,0.98,VALID,https://spiral-ventures.com/asia/about/?lang=en; https://www.openvc.app/fund/Spiral%20Ventures; https://venturecapitalarchive.com/venture-funds/spiral-ventures-spiral-ventures-com,23-10-2025,Swarnim
Chirag Sheth,Angel,"Early Revenue, Scaling",Sector-agnostic,"Retail, Consumer Platforms, Marketplace","Solo Investment, Network Access, Technical/Real Estate Expertise",?41.5 L – ?8.3 Cr INR,"Charlotte, North Carolina, USA",1.00 - multiple confirmed professional profiles and angel syndicate listings,1.00 - identifies as a Solo Angel investor,0.85 - openly 'Sector Agnostic' but noted focus on Retail/Consumer in a past deal and tech in his investment firm,0.90 - clearly targets Revenue generating ($5M+ ARR) and Scaling stages,"0.90 - check size stated as $5K-$1M USD, max cap $1M","1.00 - HQ Charlotte, NC confirmed",0.94,VALID,https://www.openvc.app/fund/Chirag%20Sheth; https://tracxn.com/d/people/chirag-sheth/__XTZ-reDCylvsF45h3IR7AbQMJDCZrY8O3W8zCMXoeDE,23-10-2025,Swarnim
Techne Infiniti Ventures,Startup / Venture Studio,"Idea or Patent, Prototype, Early Traction","Hospitality Tech, Travel, Food & Beverage, Wellness, Recreation","AI / ML, IoT, Wellness, Travel, FoodTech, SaaS / Cloud Platforms, Hospitality Ops Tech, Marketplace, IoT / Hardware","Venture Studio (Co-building), Accelerator (Scaler Program), Direct Investment, GTM Strategy, Product Refinement, Corporate/Operator Access, Mentorship, Global Investor Network, AI/Deep Tech Expertise",?41.5 L – ?8.3 Cr INR,"Cupertino, California, USA",1.00 - multiple confirmed official profiles,1.00 - confirmed as a hybrid VC/Venture Studio/Accelerator,1.00 - exclusive focus on Hospitality/Travel/F&B Tech confirmed,1.00 - targets Pre-Seed to Seed (Idea to Early Revenue) stages confirmed,0.90 - check size ranges from $50K (Scaler) to $1M (VC/Studio),"1.00 - HQ Cupertino, CA confirmed",0.98,VALID,https://www.openvc.app/fund/Techne%20Infiniti%20Ventures; https://techne.vc/; https://www.hospitalitynet.org/organization/17023465.html,23-10-2025,Swarnim
Hummingbird Capital Partners,Private Equity / Growth,"Early Traction, Scaling, Growth, Pre-IPO","Fintech, Blockchain, Consumer","DeFi / Web3, Digital Finance Platforms, Consumer / Blockchain Integration","VC/PE Investment, PIPE, Cross-Border Advisory, Strategic Partnerships, Portfolio Execution",?41.5 L – ?4.15 Cr INR,"Zurich, Switzerland",1.00 - multiple confirmed official profiles,1.00 - explicitly defines itself as PE/VC/PIPE investor,1.00 - thesis focused on Financials (Fintech) and Blockchain confirmed,"0.80 - targets Early Growth (Scaling, Growth, Pre-IPO), but also invests early",0.70 - implied check size based on OpenVC's $500K to $50M for related fund,"1.00 - HQ Zurich, Switzerland confirmed",0.92,VALID,https://hcpartners-group.com/; https://www.openvc.app/fund/Hummingbird%20Capital%20Partners,23-10-2025,Swarnim
Chandigarh Angels Network,Angel Network,"Idea or Patent, Prototype, Early Traction",Sector-agnostic,"SaaS, Enterprise / B2B, DeepTech, Consumer, FoodTech, AgriTech, Fintech, HealthTech, EdTech","Angel Investment, Bespoke Mentoring, Business Model Validation, Handholding, Network Access, Board Observer/Advisory Shares",?10 L – ?3.32 Cr INR,"Chandigarh, Punjab, India",1.00 - multiple confirmed official profiles,1.00 - explicitly identified as an Angel Network,"0.90 - self-identified as Sector-agnostic, with a confirmed portfolio across diverse tech sectors",1.00 - targets Idea to Seed/Growth stages confirmed,"0.85 - range stated as $100K-$400K USD, with a wide INR range from other sources (â‚¹10Lâ€“â‚¹2Cr)","1.00 - HQ Chandigarh, India confirmed",0.98,VALID,https://www.openvc.app/fund/Chandigarh%20Angel%20Network; https://chandigarhangelsnetwork.com/; https://www.ynos.in/venture-capital/chandigarh-angels-network-000517,23-10-2025,Swarnim
Sector 7 Venture Studio,Startup / Venture Studio,"Idea or Patent, Prototype, Early Traction, Scaling, Growth, Pre-IPO","Fintech, DeepTech, Consumer","AI / ML, Brand / Marketing, Technology, Consumer Internet, Product Design","Venture Studio (0 to 1, 10 to 100), Hands-on Execution (Brand/Design/Tech/Data), Mentorship, Investor Access",?4.15 L – ?1.25 Cr INR,"Mumbai, Maharashtra",1.00 - multiple confirmed official profiles,1.00 - explicitly identified as a Venture Studio,"1.00 - sectors (Fintech, DeepTech, D2C/Consumer Tech) confirmed",1.00 - actively targets all stages (Idea to Pre-IPO) inherent to its model,0.90 - check size stated as $5K-$150K USD,"1.00 - HQ Mumbai, Maharashtra confirmed",0.98,VALID,https://www.openvc.app/fund/Sector%207; https://venturestudio.sector7hq.co/,23-10-2025,Swarnim
Arali Ventures,Venture Capital,"Idea or Patent, Prototype, Early Revenue","Enterprise / B2B, Robotics, Fintech, HealthTech","SaaS, B2B Marketplaces, Robotics, Digital Risk Intelligence, AI / ML","B2B / Enterprise Software, Prototype to Product Development, Go-to-Market for Enterprise / SME, Deep / Frontier Tech, Hands-on Partnership, Scale Enablement",?41.5 L – ?8.3 Cr INR,"Bangalore, Karnataka, India",1.00 - multiple official profiles found,1.00 - officially self-described as a VC firm,"1.00 - primary focus on B2B Tech, SaaS, Robotics, Fintech confirmed","1.00 - explicitly targets Pre-Seed/Seed, often pre-revenue (Idea to Early Revenue) confirmed","0.90 - initial check stated as $500K-$1M USD, sometimes lower ($300K) or higher","1.00 - HQ Bangalore, India confirmed",0.98,VALID,https://araliventures.in/; https://www.openvc.app/fund/Arali%20Ventures; https://www.planify.in/organisations/arali-ventures/,23-10-2025,Swarnim
Antler,Venture Capital,"Validation, Ideation, Early Traction","AI, Fintech, HealthTech, Consumer, DeepTech, ClimateTech","Verticalized AI, Enterprise / B2B SaaS, Preventive Health, CleanTech, Digital Consumer Platforms","Pre-seed / Day Zero Support, Ideation, Team Building, Co-founder Matchmaking, Initial Capital & Follow-on Funding (Elevate Fund), Mentorship / Ecosystem, Global Network & Residency",?8.3 L – ?4.15 Cr INR,Singapore,1.00 - globally recognized VC/Incubator,1.00 - confirmed as VC with a unique early-stage model,"1.00 - core focus on AI, Fintech, Health, Climate confirmed",1.00 - explicitly targets Day Zero / Pre-seed to Seed (Ideation to Early Traction),0.90 - initial check $100K-$190K (max $500K in some regions); using broader range,1.00 - HQ Singapore confirmed,0.98,VALID,https://www.antler.co/about; https://www.openvc.app/fund/Antler; https://pitchbob.io/library/accelerators/how-to-stand-out-in-antler-program-real-advice-from-funded-founders-pitchbob-io; https://inc42.com/buzz/antler-expands-india-portfolio-backs-30-startups-in-2024,23-10-2025,Swarnim
Anthill Ventures,Venture Capital,"Early Traction, Scaling, Growth","HealthTech, ClimateTech, Urban Tech, Media / Lifestyle, Consumer","Digital Therapeutics, Genomics, Clean Mobility, Smart Cities, Consumer / D2C, Media / Lifestyle, Creator Economy","Speed-Scaling, Market Access & Distribution, Brand & Marketing Support, Go-to-Market Strategy, Product / Business Model Refinement, Mentorship & Ecosystem",?41.5 L – ?8.3 Cr INR,Singapore,1.00 - numerous confirmed official profiles,1.00 - consistently identified as a VC fund and speed-scaling ecosystem,"1.00 - three core verticals (Health, Climate, Urban Lifestyle) fully confirmed",1.00 - targets Seed to Series A/B (Early Traction to Growth) confirmed,0.85 - check size generally $500K-$1M (max $6M in some sources),1.00 - HQ Singapore (with major operations in India) confirmed,0.98,VALID,https://anthillventures.com/; https://www.openvc.app/fund/Anthill%20Ventures; https://www.indianvcs.com/investor/anthill-ventures; https://yourstory.com/2021/05/investment-platform-anthill-ventures-community-scalable-startups,23-10-2025,Swarnim
